timestamp,memory.used,memory.total,utilization.gpu
2026/09/12 23:50:15.513, 6674, 8188, 4
2026/09/12 23:50:15.685, 6674, 8188, 4
2026/09/12 23:50:15.841, 6680, 8188, 4
2026/09/12 23:50:15.997, 6680, 8188, 4
2026/09/12 23:50:16.167, 6680, 8188, 4
2026/09/12 23:50:16.337, 6680, 8188, 4
2026/09/12 23:50:16.493, 6680, 8188, 100
2026/09/12 23:50:16.663, 6680, 8188, 100
2026/09/12 23:50:16.818, 6680, 8188, 100
2026/09/12 23:50:16.974, 6680, 8188, 95
2026/09/12 23:50:17.129, 6680, 8188, 95
2026/09/12 23:50:17.287, 6680, 8188, 95
2026/09/12 23:50:17.444, 6680, 8188, 100
2026/09/12 23:50:17.598, 6680, 8188, 100
2026/09/12 23:50:17.754, 6680, 8188, 100
2026/09/12 23:50:17.909, 6680, 8188, 100
2026/09/12 23:50:18.066, 6680, 8188, 100
2026/09/12 23:50:18.221, 6680, 8188, 100
2026/09/12 23:50:18.393, 6682, 8188, 100
2026/09/12 23:50:18.549, 6682, 8188, 100
2026/09/12 23:50:18.707, 6682, 8188, 100
2026/09/12 23:50:18.862, 6682, 8188, 94
2026/09/12 23:50:19.375, 6682, 8188, 93
2026/09/12 23:50:19.532, 6682, 8188, 93
2026/09/12 23:50:19.701, 6682, 8188, 93
2026/09/12 23:50:19.857, 6682, 8188, 94
2026/09/12 23:50:20.027, 6682, 8188, 94
2026/09/12 23:50:20.197, 6682, 8188, 94
2026/09/12 23:50:20.354, 6682, 8188, 97
2026/09/12 23:50:20.523, 6682, 8188, 97
2026/09/12 23:50:20.679, 6682, 8188, 97
2026/09/12 23:50:20.835, 6682, 8188, 97
2026/09/12 23:50:20.993, 6682, 8188, 88
2026/09/12 23:50:21.164, 6682, 8188, 88
2026/09/12 23:50:21.334, 6682, 8188, 88
